retailer,name,address,region,postal_code,latitude,longitude,maps_url,is_active,fase,casa_loy_blanco,casa_loy_reposado,casa_loy_cristalino,casa_loy_anejo,casa_loy_piedra_y_agave_blanco,taddel_plata,taddel_reposado,taddel_cristalino,tierra_zafiro_blanco,tierra_zafiro_blanco_100_pure,tierra_zafiro_reposado,tierra_zafiro_cristalino,creado_en,casa_loy_piedra_y_agave_reposado,pdv,cdc,cl,td,tz
La Castellana Cumbres,Cumbres,"3a. Avenida 933, Cumbres 1Âº, sector a CP 64610, Monterrey NL",mx,64610,25.7020676,-100.3735875,https://maps.app.goo.gl/1PyDvL98kWoyMmaH6,true,Alejandro Carranza,true,false,true,false,true,true,true,true,true,false,true,false,,false,true,false,,,
La Castellana Fuentes del Valle,Fuentes del Valle,"Calz. Mauricio FernÃ¡ndez Garza 400, Fuentes del Valle CP 66224, San Pedro NL",mx,66224,25.6645087,-100.3714172,https://maps.app.goo.gl/C8sEC3VY8MG7GGXNA,true,Alejandro Carranza,true,false,true,false,true,true,true,true,true,false,true,false,,false,true,false,,,
La Castellana San AgustÃ­n,San AgustÃ­n,"C.Montes Altos 500, Residencial San AgustÃ­n 2do Sector, CP 66260, San Pedro NL",mx,66260,25.6501577,-100.3426126,https://maps.app.goo.gl/TArgvpsbkJWZ1xfg9,true,Alejandro Carranza,true,false,true,false,true,true,true,true,true,false,true,false,,false,true,false,,,
La Cava,Revolución,"Av Revolución 3725- Local 101, Villa del Róo, CP 64850, Monterrey Nl",mx,64850,25.6397561,-100.2753745,https://maps.app.goo.gl/V2RCjqaLnFEGK8U87,true,Alejandro Carranza,true,true,true,true,true,true,true,true,true,false,true,false,,false,true,false,,,
La Cava,Valle,"Calz. Del Valle 409 PTE-int 0609, Del Valle, C.P66220 Monterrey NL",mx,66220,25.6605606,-100.382386,https://maps.app.goo.gl/Q7SzDwyGA7pN2wme6,true,Alejandro Carranza,true,true,true,true,true,true,true,true,true,false,true,false,,false,true,false,,,
La Cava,Matriz,"RÃ­o Tajo 4860, Bernardo Reyes, CP 64280, Monterrey Nl",mx,64280,25.7216896,-100.3352446,https://maps.app.goo.gl/1z5puANtBpb8GjDH8,true,Alejandro Carranza,true,true,true,true,true,true,true,true,true,false,true,false,,false,true,false,,,
La Cava,Anahuac,"P. Coyotepec 4-Residencial A 3er Sector , Residencial Anahuac 3er Sector CP 66457, San Nicolas de los Garza",mx,66457,25.7381244,-100.3175037,https://maps.app.goo.gl/YMrhbAU8fYP21crq5,true,Alejandro Carranza,true,true,true,true,true,true,true,true,true,false,true,false,,false,true,false,,,
La Cava,Concordia,"Av. Concordia 3177-int103, Moderno Apodaca ll, CP 66636, CD Apodaca NL",mx,66636,25.7755692,-100.2079653,https://maps.app.goo.gl/rJUjNYTGnmCh7dmn9,true,Alejandro Carranza,true,true,true,true,true,true,true,true,true,false,true,false,,false,true,false,,,
La Cava Tula,,"Calz Melchor Ocampo # 20 ,Centro Tula",mx,42800,20.0533664,-99.3370369,https://maps.app.goo.gl/XDp2mhsyAGUzjxgT8,true,Victor Curiel,false,false,true,false,true,true,true,true,true,false,true,true,,false,true,false,,,
La Fontana Eventos,,"RepÃºblica Mexicana 711, Sin Nombre Col 2, Riberas de las Puentes CP 66465, San Nicolas de los Garza",mx,66465,25.7375959,-100.2895221,https://maps.app.goo.gl/UpdppFjvJcLD3QGbA,true,Alejandro Carranza,false,false,false,false,false,false,false,false,true,false,false,false,,false,false,true,,,
