id,retailer,name,address,phone,region,postal_code,latitude,longitude,maps_url,is_active,created_at,kam,brands,categories
,Clamateria El Rey ,La Presa,"Carr Nacional 103, San Javier CP 67320, Santiago NL",,mx,67320,,,"https://www.google.com/maps/place/Clamateria+El+Rey+La+Presa/@25.4148788,-100.1436662,17z/data=!3m1!4b1!4m6!3m5!1s0x8662cd5c777567c7:0xff5033c52401d950!8m2!3d25.414874!4d-100.1410913!16s%2Fg%2F11yf4zghht?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Rancho Nuevo,Cumbres,"Av.Paseo de los leones 2320, Cumbres Elite 2do sec CP 64630 Monterrey NL",,mx,64630,,,"https://www.google.com/maps/place/Rancho+Nuevo+Sucursal+Cumbres/@25.7109001,-100.3790063,17z/data=!3m1!4b1!4m6!3m5!1s0x8662965c18b8c987:0x16fb7fd98ec0b5c5!8m2!3d25.7108953!4d-100.3764314!16s%2Fg%2F1pp2wytds?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,90s Night Club,,"Av. Eugenio Garza Sada Sur 2640, Tecnologico Distrito Tec, CP 64880, Monterrey NL",,mx,64880,,,"https://www.google.com/maps/place/90s+NIGHT+CLUB/@25.6499113,-100.2943199,17z/data=!3m1!4b1!4m6!3m5!1s0x8662bfd46f3d4223:0x93dfa808a5b79e93!8m2!3d25.6499065!4d-100.291745!16s%2Fg%2F11vdgtlw__?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,ChavoRucos Night,,"Jose Maria Morelos 1099, Barrio Antiguo Centro, CP 64000, Monterrey NL",,mx,64000,,,"https://www.google.com/maps/place/ChavoRucos's+Night/@25.6660892,-100.307391,17z/data=!3m1!4b1!4m6!3m5!1s0x8662bfec19d6a755:0x33fffa7fd71ce75a!8m2!3d25.6660844!4d-100.3048161!16s%2Fg%2F11zjdj__2f?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Baronesa,,"Jose Maria Morelos Ote821, Barrio Antiguo, Centro CP 64000, Monterrey NL",,mx,64000,,,"https://www.google.com/maps/place/LA+BARONESA/@25.6669155,-100.3113004,17z/data=!3m2!4b1!5s0x8662be2c4c78e03d:0x8a8a4708ee5f1abe!4m6!3m5!1s0x8662bfd03f34e895:0xdd4306f8490f77d8!8m2!3d25.6669107!4d-100.3087255!16s%2Fg%2F11t4d57zt1?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,One Club ,Mitras,"Av Simon Bolivar 111,postal Mitras Centro CP 64460 Monterrey Nl",,mx,64460,,,"https://www.google.com/maps/place/One+Club+Mitras/@25.6881006,-100.3469198,17z/data=!3m1!4b1!4m6!3m5!1s0x8662951de906af49:0xeebc8968f8c5de!8m2!3d25.6880958!4d-100.3443449!16s%2Fg%2F11x8ddf8zv?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Yes Club,,"Av. A Ruiz Cortines Pte 1098, Central de Carga CP 67129, Guadalupe NL",,mx,67129,,,"https://www.google.com/maps/place/YES+Club/@25.7033215,-100.239141,17z/data=!3m1!4b1!4m6!3m5!1s0x8662ebfa10880405:0x395bb66742601e21!8m2!3d25.7033167!4d-100.2365661!16s%2Fg%2F11rjqvcmch?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Barrio Fino ,,"Av. Eloy Cavazos 2700, Contry, CP 67170, Guadalupe NL",,mx,67170,,,"https://www.google.com/maps/place/Barrio+Fino/@25.660276,-100.2568494,17z/data=!3m1!4b1!4m6!3m5!1s0x8662c184d356ac43:0x81f9f60c83572e32!8m2!3d25.6602712!4d-100.2542745!16s%2Fg%2F11v5jxnh2c?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Corazon Partio ,,"Plaza Agora, Antiguo Camino Villa de Santiago 480-3erpiso, Las Diligencias CP 64987, Monterrey nl",,mx,64987,,,"https://www.google.com/maps/place/Coraz%C3%B3n+Partio/@25.5667459,-100.2388083,17z/data=!3m1!4b1!4m6!3m5!1s0x8662c7a1ebb972fb:0xbe9a7d2a2da97d05!8m2!3d25.5667411!4d-100.2362334!16s%2Fg%2F11ypjw_5kl?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Santa Kitchen Bar,San Pedro,"Av. Fundadores 955, Valle del Mirador CP 64750, Monterrey NL",,mx,64750,,,"https://www.google.com/maps/place/La+Santa+Kitchen+Bar+-+San+Pedro/@25.6377424,-100.3187056,17z/data=!3m1!4b1!4m6!3m5!1s0x8662bf001b5b3525:0x92de98c073ff2a5c!8m2!3d25.6377376!4d-100.3161307!16s%2Fg%2F11w2bs53sw?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Santa Kitchen Bar,Citadina Concordia ,"Plaza Citadina Concordia, Av. Concordia, Misión San José 801-Local 20-21, 66612 Cdad. Apodaca, N.L.",,mx,66612,,,"https://www.google.com/maps/place/La+Santa+Kitchen+Bar+-+Citadina+Concordia/@25.7846733,-100.2381162,17z/data=!3m1!4b1!4m6!3m5!1s0x8662edebf9c40d89:0x8ddf2106d4cdd5e5!8m2!3d25.7846685!4d-100.2355413!16s%2Fg%2F11y0kqny4m?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Santa Kitchen Bar,Citadel,"Av. Romulo Garza 410 Sin Nombre de col 34, CP 66477, San Nicolas de los Garza",,mx,66477,,,"https://www.google.com/maps/place/La+Santa+Kitchen+bar+-+CITADEL/@25.725941,-100.2175297,17z/data=!3m1!4b1!4m6!3m5!1s0x8662eb3b4fdeaee9:0xf5e424aac48dfbfc!8m2!3d25.7259362!4d-100.2149548!16s%2Fg%2F11wxbkp8v7?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Galeria Eventos ,,"Av. Benito Juarez 501, Col La Encomienda, Joyas de Anahuac, CP 66054, Escobedo NL",,mx,66054,,,"https://www.google.com/maps/place/La+Galer%C3%ADa+Eventos/@25.7805339,-100.2862676,17z/data=!3m1!4b1!4m6!3m5!1s0x86629367bcf4eccd:0xcb9df85a03522ad3!8m2!3d25.7805291!4d-100.2836927!16s%2Fg%2F11cks6mft_?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Cantera Eventos,,"Carr Nacional 2700, Valle de Cristal CP 64986, Monterrey NL",,mx,64986,,,"https://www.google.com/maps/place/La+Cantera+Eventos/@25.5305975,-100.2147235,17z/data=!3m1!4b1!4m6!3m5!1s0x8662c6527dcb8f21:0x91a97a4ad41778eb!8m2!3d25.5305927!4d-100.2121486!16s%2Fg%2F1pt_hvkzc?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Fontana Eventos,,"República Mexicana 711, Sin Nombre Col 2, Riberas de las Puentes CP 66465, San Nicolas de los Garza",,mx,66465,,,"https://www.google.com/maps/place/La+Fontana+Eventos/@25.7375959,-100.2895221,17z/data=!3m1!4b1!4m6!3m5!1s0x866294e8c39a4419:0xc68dc2891e9f0887!8m2!3d25.7375911!4d-100.2869472!16s%2Fg%2F1tlkct48?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Vie Events,,"Av. Paseo de los Leones 7004, Col. Valle de Cumbres CP 64344, Premier NL",,mx,64344,,,"https://www.google.com/maps/place/VIE+EVENTS+MTY/@25.7548561,-100.4421324,17z/data=!3m1!4b1!4m6!3m5!1s0x8662973d748f6a09:0xcab8c7f3825dfae9!8m2!3d25.7548513!4d-100.4395575!16s%2Fg%2F11vdt_ldl7?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
